timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-06-05 19:02:22,b'Super excited to present at this conference and can\xe2\x80\x99t wait to hear what global colleagues have to say about #thresholdconceps   #aussieED #edchat #LTHEchat #AcademicChatter #AcademicTwitter #edchatEu #EDtwt #EdTwitter #CrazyPLN #udl #tlap https://t.co/wSTBGcGaQ1',b'VirnaRossi',"['thresholdconceps', 'aussieED', 'edchat', 'LTHEchat', 'AcademicChatter', 'AcademicTwitter', 'edchatEu', 'EDtwt', 'EdTwitter', 'CrazyPLN', 'udl', 'tlap']",London/Italy,2377,0,0
2021-06-05 19:02:01,"b""\xf0\x9f\x8e\x87 Make one of these super cool mugs yours! Be one the first 1,000 registrants of the #TEACH2021 conference and you'll get it in the mail \xf0\x9f\x93\xab.   Learn more \xf0\x9f\x91\x87\xf0\x9f\x8f\xbd https://t.co/KaRzOFdxtZ  #EdChat #Educhat #DistanceLearning @AFTunion @MarlaUcelli https://t.co/Jv4pU43rrv""",b'AFTteach',"['TEACH2021', 'EdChat', 'Educhat', 'DistanceLearning']","Washington, DC",6333,0,0
2021-06-05 19:00:50,b'You can download all of our free weekly math challenges on our website: https://t.co/Yr6Sl3DQu5 #edchat https://t.co/xHQ20mApEk',b'mashupmath',['edchat'],"Denver, CO",24850,0,3
2021-06-05 19:00:33,b'NO COST! 5 new online courses have been released!  Best Practice for Online Course Design; Create a Culture of Digital Citizens; Maker Ed- Instructions for Educators; Google Beginner Educator; and @nearpod Educator.  https://t.co/7KvsV5bkgZ #edtech #edchat @NYSEDNews https://t.co/RF0EwfCP2j',b'NYSCATE',"['edtech', 'edchat']","New York, USA",6107,0,0
2021-06-05 19:00:20,"b'""I want to spark a movement\xe2\x80\x94get my audience to shift their mindset about how they have seen young people in the past and how they could be more open-minded and willing to let young people take charge."" \xe2\x80\x94@_theregoesleah https://t.co/amXERJ6c1Y #edreimagined #edchat'",b'EdReimagined',"['edreimagined', 'edchat']",,8925,0,0
2021-06-05 18:58:26,b'Why are so many Language Arts teachers fans of GrammarFlip?  Find out today with a free trial!  https://t.co/fwDYZ5zc5v    #homeschooling #elachat #edchat https://t.co/byXcFxKv3U',b'GrammarFlip',"['homeschooling', 'elachat', 'edchat']",,3629,0,0
2021-06-05 18:57:20,b'From the Desk of a Retired Superintendent- Being a superhero! https://t.co/HDNyt4hOZG #abed #saskedchat #edchat',b'cdsmeaton',"['abed', 'saskedchat', 'edchat']","Alberta, Canada",10243,0,0
2021-06-05 18:56:00,b'Find high-quality item banks from trusted sources in Edulastic.   https://t.co/WwvHggiRRp  #k12 #edchat https://t.co/ES9xGbtKxB',b'Edulastic',"['k12', 'edchat']","Fremont, CA",6639,0,0
2021-06-05 18:55:15,"b'Join @HalkumHMS, @MeganFerne, &amp; @mrshowell24 for a fun, creative, and interactive series.   MAKE &amp; TAKE   \xf0\x9f\x8e\xa5https://t.co/qdyEsGodAc  #edtech #ditchbook #tlap #ETCoaches #hacklearning #GSuiteEdu #GoogleEDU  #edchat #LeadLAP #googlei #educoach https://t.co/rMKy8vuadm'",b'GoldEDULLC',"['edtech', 'ditchbook', 'tlap', 'ETCoaches', 'hacklearning', 'GSuiteEdu', 'GoogleEDU', 'edchat', 'LeadLAP', 'googlei', 'educoach']",,939,0,0
2021-06-05 18:52:41,b'Product Review: @Ipevo Interactive Whiteboard IW2 #edtech #edchat https://t.co/M5EUubcFyj',b'eduappsandmore',"['edtech', 'edchat']","Oxford, MS",1782,0,0
